target_id,institution_or_source,region,backlog_status,execution_disposition,access_class,adapter_family,next_wave,linked_pandas,needs_primary_source,partial,name_zh_gap,parentage_gap,current_location_primary_gap,structured_event_gap,access_cost,parser_complexity,expected_field_yield,identity_coverage,conflict_risk,conflict_rate_assumption,curator_burden,blocker,recommendation
target_gpg_domestic_index_batch_8,Giant Panda Global domestic zoo indexes,China,partial,retire-empty-backlog-row,manual-only,secondary-discovery-splitter,HOLD-no-linked-records,0,0,0,0,0,0,0,high,not-applicable-until-access-resolved,none-linked,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery row has no deterministic queue links and should not become an adapter,retire the planning row from active execution; preserve only as backlog history
target_gpg_domestic_index_batch_9,Giant Panda Global domestic zoo indexes,China,partial,split-into-official-holder-cohorts,manual-only,secondary-discovery-splitter,HOLD-discovery-only,1,0,1,0,0,1,1,high,not-applicable-until-access-resolved,low,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery source is not eligible as official evidence; replace with holder or government sources,use only to name official holder cohorts; never implement a broad GPG evidence adapter
target_gpg_domestic_index_batch_10,Giant Panda Global domestic zoo indexes,China,partial,split-into-official-holder-cohorts,manual-only,secondary-discovery-splitter,HOLD-discovery-only,1,1,0,1,1,1,1,high,not-applicable-until-access-resolved,low,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery source is not eligible as official evidence; replace with holder or government sources,use only to name official holder cohorts; never implement a broad GPG evidence adapter
target_gpg_domestic_index_batch_11,Giant Panda Global domestic zoo indexes,China,partial,retire-empty-backlog-row,manual-only,secondary-discovery-splitter,HOLD-no-linked-records,0,0,0,0,0,0,0,high,not-applicable-until-access-resolved,none-linked,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery row has no deterministic queue links and should not become an adapter,retire the planning row from active execution; preserve only as backlog history
target_gpg_domestic_index_batch_12,Giant Panda Global domestic zoo indexes,China,partial,retire-empty-backlog-row,manual-only,secondary-discovery-splitter,HOLD-no-linked-records,0,0,0,0,0,0,0,high,not-applicable-until-access-resolved,none-linked,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery row has no deterministic queue links and should not become an adapter,retire the planning row from active execution; preserve only as backlog history
target_gpg_global_living_index_batch_13,Giant Panda Global living panda index,Global,partial,retire-empty-backlog-row,manual-only,secondary-discovery-splitter,HOLD-no-linked-records,0,0,0,0,0,0,0,high,not-applicable-until-access-resolved,none-linked,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery row has no deterministic queue links and should not become an adapter,retire the planning row from active execution; preserve only as backlog history
target_gpg_global_living_index_batch_14,Giant Panda Global living panda index,Global,partial,retire-empty-backlog-row,manual-only,secondary-discovery-splitter,HOLD-no-linked-records,0,0,0,0,0,0,0,high,not-applicable-until-access-resolved,none-linked,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery row has no deterministic queue links and should not become an adapter,retire the planning row from active execution; preserve only as backlog history
target_gpg_yaan_base_batch_15,Giant Panda Global Ya'an Base index,China,partial,replace-secondary-with-official,manual-only,ccrcgp-official-profile-and-base,W1-ccrcgp-surface-review,79,73,4,73,74,77,72,high,not-applicable-until-access-resolved,very-high,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery source is not eligible as official evidence; replace with holder or government sources,fold into one CCRCGP official replacement cohort; do not crawl the three overlapping GPG Ya'an batches
target_gpg_global_living_index_batch_16,Giant Panda Global living panda index,Global,partial,retire-empty-backlog-row,manual-only,secondary-discovery-splitter,HOLD-no-linked-records,0,0,0,0,0,0,0,high,not-applicable-until-access-resolved,none-linked,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery row has no deterministic queue links and should not become an adapter,retire the planning row from active execution; preserve only as backlog history
target_gpg_global_living_index_batch_17,Giant Panda Global living panda index,Global,partial,retire-empty-backlog-row,manual-only,secondary-discovery-splitter,HOLD-no-linked-records,0,0,0,0,0,0,0,high,not-applicable-until-access-resolved,none-linked,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery row has no deterministic queue links and should not become an adapter,retire the planning row from active execution; preserve only as backlog history
target_gpg_global_living_index_batch_18,Giant Panda Global living panda index,Global,partial,retire-empty-backlog-row,manual-only,secondary-discovery-splitter,HOLD-no-linked-records,0,0,0,0,0,0,0,high,not-applicable-until-access-resolved,none-linked,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery row has no deterministic queue links and should not become an adapter,retire the planning row from active execution; preserve only as backlog history
target_gpg_global_living_index_batch_19,Giant Panda Global living panda index,Global,partial,split-into-official-holder-cohorts,manual-only,secondary-discovery-splitter,HOLD-discovery-only,1,1,0,1,1,1,1,high,not-applicable-until-access-resolved,low,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery source is not eligible as official evidence; replace with holder or government sources,use only to name official holder cohorts; never implement a broad GPG evidence adapter
target_gpg_yaan_base_batch_20,Giant Panda Global Ya'an Base index,China,partial,replace-secondary-with-official,manual-only,ccrcgp-official-profile-and-base,W1-ccrcgp-surface-review,79,73,4,73,74,77,72,high,not-applicable-until-access-resolved,very-high,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery source is not eligible as official evidence; replace with holder or government sources,fold into one CCRCGP official replacement cohort; do not crawl the three overlapping GPG Ya'an batches
target_official_historic_deaths_batch_21,Official historic death notices and GPG missing living-index pages,Global,partial,document-cohort-research,official-documents-or-feeds,historic-institutional-documents,W2-official-archive-research,3,0,1,0,2,1,2,medium-high,high,low,medium-low-historic-aliases,high,expected-above-smithsonian-0pct-baseline,low,"heterogeneous exact documents must be enumerated; terms, robots, document rights, and parser anchors remain unreviewed",build a bounded manifest of exact official documents before any parser work
target_gpg_global_living_index_batch_22,Giant Panda Global living panda index,Global,partial,retire-empty-backlog-row,manual-only,secondary-discovery-splitter,HOLD-no-linked-records,0,0,0,0,0,0,0,high,not-applicable-until-access-resolved,none-linked,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery row has no deterministic queue links and should not become an adapter,retire the planning row from active execution; preserve only as backlog history
target_gpg_global_living_index_batch_23,Giant Panda Global living panda index,Global,partial,retire-empty-backlog-row,manual-only,secondary-discovery-splitter,HOLD-no-linked-records,0,0,0,0,0,0,0,high,not-applicable-until-access-resolved,none-linked,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery row has no deterministic queue links and should not become an adapter,retire the planning row from active execution; preserve only as backlog history
target_gpg_global_living_index_batch_24,Giant Panda Global living panda index,Global,partial,split-into-official-holder-cohorts,manual-only,secondary-discovery-splitter,HOLD-discovery-only,1,0,1,0,1,1,1,high,not-applicable-until-access-resolved,low,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery source is not eligible as official evidence; replace with holder or government sources,use only to name official holder cohorts; never implement a broad GPG evidence adapter
target_gpg_global_living_index_batch_25,Giant Panda Global living panda index,Global,partial,split-into-official-holder-cohorts,manual-only,secondary-discovery-splitter,HOLD-discovery-only,2,2,0,2,2,2,2,high,not-applicable-until-access-resolved,low,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery source is not eligible as official evidence; replace with holder or government sources,use only to name official holder cohorts; never implement a broad GPG evidence adapter
target_historic_deceased_batch_26,Historic deceased panda records,Global,partial,document-cohort-research,official-documents-or-feeds,historic-institutional-documents,W2-official-archive-research,3,1,2,3,3,3,0,medium-high,high,low,medium-low-historic-aliases,high,expected-above-smithsonian-0pct-baseline,low,"heterogeneous exact documents must be enumerated; terms, robots, document rights, and parser anchors remain unreviewed",build a bounded manifest of exact official documents before any parser work
target_historic_short_term_loans_batch_27,Historic short-term panda loans,Global,partial,document-cohort-research,official-documents-or-feeds,historic-institutional-documents,W2-official-archive-research,6,3,3,6,6,6,4,medium-high,high,medium,medium-low-historic-aliases,high,expected-above-smithsonian-0pct-baseline,medium,"heterogeneous exact documents must be enumerated; terms, robots, document rights, and parser anchors remain unreviewed",build a bounded manifest of exact official documents before any parser work
target_chengdu_zoo_historic_batch_28,Giant Panda Global Chengdu Zoo previous index,China,partial,document-cohort-research,official-documents-or-feeds,official-document-evidence,W2-official-archive-research,8,4,4,8,8,8,5,medium-high,high,medium,medium-low-historic-aliases,high,expected-above-smithsonian-0pct-baseline,medium,"heterogeneous exact documents must be enumerated; terms, robots, document rights, and parser anchors remain unreviewed",build a bounded manifest of exact official documents before any parser work
target_chengdu_base_historic_batch_29,Giant Panda Global Chengdu Panda Base previous index,China,partial,review-then-adapt,official-documents-or-feeds,chengdu-base-official-html,W1-chengdu-source-review,8,5,3,8,8,8,6,medium-high,high,medium,medium-low-historic-aliases,high,expected-above-smithsonian-0pct-baseline,medium,"heterogeneous exact documents must be enumerated; terms, robots, document rights, and parser anchors remain unreviewed","review exact Chengdu profile, news, and history paths, then implement one shared official HTML adapter family"
target_beijing_zoo_historic_batch_30,Giant Panda Global Beijing Zoo previous index,China,partial,manual-surface-discovery,official-documents-or-feeds,beijing-zoo-profile-and-archive,W1-beijing-surface-review,7,4,3,7,7,7,4,medium-high,high,medium,medium-low-historic-aliases,high,expected-above-smithsonian-0pct-baseline,medium,"heterogeneous exact documents must be enumerated; terms, robots, document rights, and parser anchors remain unreviewed",first locate a deterministic official profile or archive surface; otherwise keep manual and document-only
target_london_zoo_historic_batch_31,London Zoo historic panda records,United Kingdom,partial,document-cohort-research,official-documents-or-feeds,historic-institutional-documents,W2-official-archive-research,4,0,4,3,4,4,1,medium-high,high,low,medium-low-historic-aliases,high,expected-above-smithsonian-0pct-baseline,low,"heterogeneous exact documents must be enumerated; terms, robots, document rights, and parser anchors remain unreviewed",build a bounded manifest of exact official documents before any parser work
target_beijing_paris_historic_batch_32,Beijing Zoo and Paris historic panda records,Global,partial,manual-surface-discovery,official-documents-or-feeds,beijing-zoo-profile-and-archive,W1-beijing-surface-review,1,0,1,0,0,1,0,medium-high,high,low,medium-low-historic-aliases,high,expected-above-smithsonian-0pct-baseline,low,"heterogeneous exact documents must be enumerated; terms, robots, document rights, and parser anchors remain unreviewed",first locate a deterministic official profile or archive surface; otherwise keep manual and document-only
target_memphis_lele_death_reconciliation_batch_33,Memphis Zoo Le Le death records,United States,partial,defer-lower-impact-review,official-documents-or-feeds,official-document-evidence,W3-overseas-follow-up,0,0,0,0,0,0,0,medium-high,high,none-linked,none-linked,medium,use-smithsonian-0pct-as-provisional-baseline-only,none-linked,"heterogeneous exact documents must be enumerated; terms, robots, document rights, and parser anchors remain unreviewed",defer behind W1/W2; reuse the official-document-evidence family after formal source review
target_ueno_official_history_batch_34,Tokyo Zoological Park Society Ueno panda history,Japan,complete,maintenance-only,manual-only,tokyo-zoo-manual-evidence,W0-maintenance,14,0,4,0,7,4,0,high,not-applicable-until-access-resolved,low,high-with-cohort-boundary,maintenance-only,not-remeasured-maintenance-only,medium,closed backlog target; any refresh still requires source review,do not rerun as an expansion cohort; retain for maintenance or regression fixtures
target_madrid_historic_batch_35,Zoo Aquarium Madrid historic panda timeline,Spain,complete,maintenance-only,official-documents-or-feeds,official-document-evidence,W0-maintenance,3,0,2,3,2,2,0,medium-high,high,low,medium-low-historic-aliases,maintenance-only,not-remeasured-maintenance-only,low,closed backlog target; any refresh still requires source review,do not rerun as an expansion cohort; retain for maintenance or regression fixtures
target_vienna_longhui_batch_36,Vienna Zoo official panda history,Austria,complete,maintenance-only,official-documents-or-feeds,official-document-evidence,W0-maintenance,1,0,0,0,1,0,0,medium-high,high,low,high-with-cohort-boundary,maintenance-only,not-remeasured-maintenance-only,low,closed backlog target; any refresh still requires source review,do not rerun as an expansion cohort; retain for maintenance or regression fixtures
target_taipei_tuantuan_duplicate_merge_batch_37,Taipei Zoo official Tuan Tuan profile,Taiwan,complete,maintenance-only,deterministic-official-html,official-zoo-profile-html,W0-maintenance,2,0,1,0,0,1,0,medium,medium,low,high-with-cohort-boundary,maintenance-only,not-remeasured-maintenance-only,low,closed backlog target; any refresh still requires source review,do not rerun as an expansion cohort; retain for maintenance or regression fixtures
target_vienna_yangyang_duplicate_merge_batch_38,Vienna Zoo official Yang Yang profile,Austria,complete,maintenance-only,deterministic-official-html,official-zoo-profile-html,W0-maintenance,2,1,1,1,2,2,2,medium,medium,low,high-with-cohort-boundary,maintenance-only,not-remeasured-maintenance-only,low,closed backlog target; any refresh still requires source review,do not rerun as an expansion cohort; retain for maintenance or regression fixtures
target_ueno_youyou_duplicate_merge_batch_39,Tokyo Zoological Park Society You You profile,Japan,complete,maintenance-only,manual-only,tokyo-zoo-manual-evidence,W0-maintenance,12,1,4,1,6,5,1,high,not-applicable-until-access-resolved,medium,high-with-cohort-boundary,maintenance-only,not-remeasured-maintenance-only,medium,closed backlog target; any refresh still requires source review,do not rerun as an expansion cohort; retain for maintenance or regression fixtures
target_early_us_uk_historic_batch_40,Early U.S. and U.K. historic panda records,Global,partial,document-cohort-research,official-documents-or-feeds,historic-institutional-documents,W2-official-archive-research,8,4,4,8,8,8,0,medium-high,high,medium,medium-low-historic-aliases,high,expected-above-smithsonian-0pct-baseline,medium,"heterogeneous exact documents must be enumerated; terms, robots, document rights, and parser anchors remain unreviewed",build a bounded manifest of exact official documents before any parser work
target_chichi_zsl_archive_batch_41,ZSL Archive Chi Chi authority record,United Kingdom,complete,maintenance-only,official-documents-or-feeds,historic-institutional-documents,W0-maintenance,1,0,1,1,1,1,0,medium-high,high,low,medium-low-historic-aliases,maintenance-only,not-remeasured-maintenance-only,low,closed backlog target; any refresh still requires source review,do not rerun as an expansion cohort; retain for maintenance or regression fixtures
target_dprk_diplomacy_batch_42,China.org/China Daily DPRK panda diplomacy records,Democratic People's Republic of Korea,partial,document-cohort-research,official-documents-or-feeds,government-diplomacy-documents,W2-official-archive-research,5,5,0,0,5,5,4,medium-high,high,medium,high-with-cohort-boundary,medium,use-smithsonian-0pct-as-provisional-baseline-only,medium,"heterogeneous exact documents must be enumerated; terms, robots, document rights, and parser anchors remain unreviewed",build a bounded manifest of exact official documents before any parser work
target_gpg_yaan_base_batch_43,Giant Panda Global Ya'an Base previous index,China,partial,replace-secondary-with-official,manual-only,ccrcgp-official-profile-and-base,W1-ccrcgp-surface-review,81,73,6,73,76,79,72,high,not-applicable-until-access-resolved,very-high,low-secondary-names-and-duplicates,high-same-name-and-location-drift,not-measurable-before-official-access-resolution,very-high-source-splitting,secondary discovery source is not eligible as official evidence; replace with holder or government sources,fold into one CCRCGP official replacement cohort; do not crawl the three overlapping GPG Ya'an batches
